"Drug Name","NDC #","Total Rxs","Quantity","Total",
"MEMANTINE 10MG TABLET","33342-0298-15","4","270","28.49"
"XARELTO 20MG TAB","50458-0579-30","3","270","1858.16"
"REPAGLINIDE 2MG TABLET","57237-0159-01","1","270","23.42"
"CHLORPROMAZINE HCL 50 MG ORAL TABLET","00832-6019-10","1","270","105.31"
"HYDROCHLOROTHIAZIDE 12.5MG CAPSULE","50228-0146-10","3","270","4.26"
"VALACYCLOVIR 1GM TABLET","57237-0043-90","9","259","127.65"
"ESTRADIOL 0.1 MG/GM VAGINAL CREAM","66993-0002-10","6","255","157.10"
"TRAZODONE 100MG TABLET","50111-0561-03","7","255","35.12"
"ESCITALOPRAM 20MG TABLET","43547-0282-11","9","255","66.98"
"CYCLOBENZAPRINE 5MG TABLET","72888-0012-05","5","247","4.63"
"DOXYCYCLINE HYCLATE 100MG CAPSULE*****","00143-9803-05","9","246","65.85"
"BUSPIRONE 10MG TABLET","23155-0024-05","4","240","17.46"
"DICLOFENAC SOD 50MG TAB DR ***","61442-0102-01","5","240","45.08"
"SACUBITRIL-VALSARTAN 49-51 MG ORAL TABLET","72205-0281-60","2","240","491.41"
"CEQUA 0.09% SOLUTION","47335-0506-96","2","240","2448.39"
"NEXIUM 40MG CAPSULE****","00186-5040-31","2","240","2069.52"
"METOPROLOL TARTRATE 50MG TABLET","57237-0101-99","2","240","4.14"
"AZELASTINE HCL 137 MCG/SPRAY NASAL SOLUTION","65162-0676-84","8","240","114.04"
"RYBELSUS 14MG TABLET","00169-4314-30","4","240","7523.20"
"PIOGLITAZONE 15MG TABLET","57237-0219-05","4","240","18.19"
"CLOBETASOL PROPIONATE 0.05% OINTMENT","51672-1259-03","4","240","271.58"
"PROPRANOLOL 10MG TABLET ***","69238-2077-01","2","240","32.41"
"LEVOTHYROXINE 25MCG TABLET","68180-0965-03","4","240","38.75"
"BUDESONIDE 0.5MG/2ML INHALATION SUSPENSION","00093-6816-73","3","240","65.31"
"AMITRIPTYLINE 10 MG TABLET","57664-0687-88","3","240","38.93"
