"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"FAMOTIDINE 40MG TABLET","70756-0052-12","-6794","107","6644","26750.37","530.48","-4942.67%","-98.02%","0","1000"
"BACLOFEN 10MG TAB ***","00172-4096-80","-16105","86","6600","12840.98","532.26","-2312.54%","-95.85%","0","1000"
"OMEGA-3-ACID ETHYL ESTERS 1 GM ORAL CAPSULE","65162-0034-16","-13560","45","6600","13482.25","1756.63","-667.51%","-86.97%","0","120"
"GLIPIZIDE 10MG TAB ***","60505-0142-01","-15404","59","6480","2567.53","324.80","-690.5%","-87.35%","0","1000"
"NIFEDIPINE 60MG TABLET ER","50742-0261-03","-18423","70","6420","12514.01","1293.02","-867.81%","-89.67%","0","300"
"ROSUVASTATIN 20MG TABLET","72205-0004-99","-29325","82","6420","49386.92","427.28","-11458.44%","-99.13%","0","1000"
"ACCU-CHEK GUIDE IN VITRO STRIP","65702-0711-10","-6900","49","6400","2641.92","2416.79","-9.32%","-8.52%","0","50"
"HYDROCHLOROTHIAZIDE 12.5MG CAPSULE","50228-0146-10","-26160","77","6330","2192.96","280.20","-682.64%","-87.22%","0","1000"
"ESCITALOPRAM 10MG TABLET","13668-0136-10","-18547","142","6267","23319.13","823.23","-2732.64%","-96.47%","0","1000"
"CLOTRIMAZOLE-BETAMETHASONE 1-0.05 % EXTERNAL CREAM","00168-0258-46","-16560","117","6255","8834.26","2463.95","-258.54%","-72.11%","0","45"
"FLUTICASONE-SALMETEROL 250-50 MCG/ACT INH AEROSOL","00054-0327-56","-16260","80","6240","40165.84","6612.32","-507.44%","-83.54%","0","60"
"HYDRALAZINE 25MG TAB ***","23155-0002-10","-18570","41","6210","3148.47","249.82","-1160.3%","-92.07%","0","1000"
"ALCOHOL PREP 70 % PAD CVS","00536-1103-01","-6200","31","6200","143.22","123.06","-16.38%","-14.08%","0","100"
"CALCIUM CARBONATE ANTACID 1250 MG/5ML ORAL SUSPENSION","00121-0766-16","-8514","13","6149","136.24","244.27","44.23%","79.29%","0","473"
"CYCLOBENZAPRINE 10MG TABLET","10702-0007-50","-28561","115","6025","6049.38","683.36","-785.24%","-88.7%","0","500"
"CETIRIZINE 5 MG/5ML SOLUTION","00904-6765-20","-6142","26","6024","255.25","370.39","31.09%","45.11%","0","118"
"ONETOUCH ULTRA BLUE  STRIP*****","53885-0244-50","-29400","44","6000","18000.00","9018.18","-99.6%","-49.9%","0","50"
"CARVEDILOL 25 MG TABLET ***","72888-0037-00","-6090","41","6000","11026.29","242.61","-4444.86%","-97.8%","0","1000"
"FUROSEMIDE 20MG TAB ***","69315-0116-10","-12350","89","5902","578.41","247.43","-133.77%","-57.22%","0","1000"
"SIMVASTATIN 40MG TABLET","16729-0006-17","-21658","77","5730","28174.98","578.03","-4774.31%","-97.95%","0","1000"
"VITAMIN B COMPLEX  CAPSULE * NYM*","00536-4787-01","-21330","85","5730","744.90","412.04","-80.78%","-44.69%","0","100"
"HYDROXYZINE HCL 25MG TABLET","23155-0501-10","-16273","92","5724","3188.94","590.77","-439.79%","-81.47%","0","1000"
"LOSARTAN HCTZ 100-25MG TABLET","00093-7368-10","-12734","68","5700","16704.80","758.94","-2101.07%","-95.46%","0","1000"
"SPS 15GM/60ML SUSPENSION","46287-0006-01","-17028","1","5676","715.20","1417.16","49.53%","98.15%","0","473"
"GABAPENTIN 400MG CAPSULE","67877-0224-10","-24720","48","5670","7833.62","238.41","-3185.78%","-96.96%","0","1000"
