"Drug Name","NDC #","Total Rxs","Quantity","Total",
"DOTTI 0.1 MG/24HR TRANSDERMAL PATCH TWICE WEEKLY","65162-0997-08","3","24","156.47"
"JUBLIA 10 % EXTERNAL SOLUTION","00187-5400-08","3","24","4825.40"
"SUTAB 1479-225-188 MG ORAL TABLET","52268-0201-01","1","24","160.26"
"RESTASIS MULTIDOSE 0.05 % OPHTHALMIC EMULSION","00023-5301-05","4","22","2451.14"
"MOUNJARO 15 MG/0.5ML PEN-INJECTOR","00002-1457-80","9","18","9496.07"
"TRULICITY 1.5MG/0.5ML INJECTION","00002-1434-80","7","18","8662.59"
"RHOPRESSA 0.02 % OPHTHALMIC SOLUTION","70727-0497-25","2","15","1927.70"
"LUMIGAN 0.01 % OPHTHALMIC SOLUTION","00023-3205-05","3","15","1522.43"
"ALPHAGAN P 0.15 % OPHTHALMIC SOLUTION","00023-9177-15","1","15","607.64"
"MOUNJARO 2.5 MG/0.5ML PEN-INJECTOR","00002-1506-80","5","14","7464.35"
"ROCKLATAN 0.02-0.005% SOLUTION","70727-0529-25","3","12.5","1732.18"
"WEGOVY 2.4 MG/0.75ML AUTO-INJECTOR","00169-4524-14","4","12","5140.74"
"NOVOLOG MIX 70/30 FLEXPEN 100 UNIT/ML PEN-INJECTOR","00169-3696-19","1","12","104.27"
"ZEPBOUND 10 MG/0.5ML AUTO-INJECTOR","00002-2471-80","5","10","5254.60"
"WEGOVY 1.7 MG/0.75ML AUTO-INJECTOR","00169-4517-14","3","9","3780.75"
"SHINGRIX 50 MCG/0.5ML IM SUSP RECON","58160-0823-11","9","9","1960.42"
"ZAFEMY 150-35 MCG/24HR TRANSDERMAL PATCH WEEKLY","65162-0358-03","3","9","314.52"
"FREESTYLE LIBRE 3 PLUS SENSOR","57599-0844-00","4","8","627.74"
"SPIRIVA RESPIMAT 2.5MCG/ACT AEROSOL***","00597-0100-61","2","8","1029.78"
"VEVYE 0.1 % OPHTHALMIC SOLUTION","82667-0900-02","3","6","2191.00"
"HUMULIN R U-500 KWIKPEN 500UNIT/ML INJECTION","00002-8824-27","1","6","546.17"
"ACTEMRA ACTPEN 162 MG/0.9ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR","50242-0143-01","3","5.4","6927.22"
"DELESTROGEN 20 MG/ML INTRAMUSCULAR OIL","42023-0111-01","1","5","189.54"
"RASUVO 20MG/0.4ML INJECTION","59137-0530-04","3","4.8","1653.04"
"TOUJEO SOLOSTAR 300UNIT/ML INJECTION","00024-5869-03","1","4.5","400.80"
"ZEPBOUND 7.5 MG/0.5ML AUTO-INJECTOR","00002-2484-80","2","4","2098.41"
"EPINEPHRINE (JR) 0.15MG/0.3ML INJECTION 2ML","49502-0101-02","2","4","590.06"
"PODOFILOX 0.5 % EXTERNAL GEL","00574-0621-05","1","3.5","479.56"
"PROCRIT 10000 UNIT/ML INJECTION SOLUTION","59676-0310-01","1","3","750.10"
"LUMIGAN 0.01% SOLUTION****","00023-3205-03","1","2.5","246.69"
"PREVNAR 20 0.5 ML PREFILLED SYRINGE","00005-2000-10","5","2.5","1390.64"
"AREXVY 120 MCG/0.5ML INTRAMUSCULAR SUSPENSION RECONSTITUTED","58160-0848-11","2","2","594.90"
"ZEPBOUND 2.5 MG/0.5ML AUTO-INJECTOR","00002-2506-80","1","2","1048.23"
"ZEPBOUND 5 MG/0.5ML AUTO-INJECTOR","00002-2495-80","1","2","1048.23"
"ZEPBOUND 12.5 MG/0.5ML AUTO-INJECTOR","00002-2460-80","1","2","1052.03"
"AFLURIA PRESERVATIVE FREE 0.5 ML INTRAMUSCULAR SUSPENSION PREFILLED SYRINGE","33332-0025-03","3","1.5","62.56"
"DEXCOM G7 RECEIVER DEVICE","08627-0078-01","1","1","301.62"
"FREESTYLE FREEDOM LITE  KIT KINRAY*****","99073-0709-14","1","1","13.81"
"FREESTYLE LIBRE 3 READER DEVICE","57599-0820-00","1","1","70.00"
"PROLIA 60 MG/ML SUBCUTANEOUS SOLUTION PREFILLED SYRINGE","55513-0710-21","1","1","1807.72"
"ELLA 30 MG ORAL TABLET","73302-0456-01","1","1","38.18"
"ACCU-CHEK GUIDE W/DEVICE KIT","65702-0729-10","1","1","21.18"
"GARDASIL 9 INTRAMUSCULAR SUSPENSION PREFILLED SYRINGE","00006-4121-02","2","1","665.90"
"PREVNAR 20 0.5 ML INTRAMUSCULAR SUSPENSION PREFILLED SYRINGE","00005-2000-02","1","0.5","284.46"
