"Drug Name","NDC #","QOH","Total Rxs","Quantity","Acq Cost","Total","Margin","Profit Pct","Min QOH","Pkg Size",
"MELOXICAM 15MG TAB ***","69097-0159-12","-18293","14","390","1322.36","23.12","-5619.55%","-98.25%","0","500"
"LINZESS 145MCG CAPSULE***","00456-1201-30","-13800","11","390","8450.00","3450.29","-144.91%","-59.17%","0","30"
"TORSEMIDE 20MG TABLET","50111-0917-03","-26754","4","390","275.36","118.70","-131.98%","-56.89%","0","1000"
"LOSARTANHCTZ 100-12.5 MG TABLET","33342-0051-44","-8400","5","390","1142.70","38.74","-2849.66%","-96.61%","0","1000"
"ESCITALOPRAM 20MG TABLET","43547-0282-11","-6098","11","390","1233.96","91.01","-1255.85%","-92.62%","0","1000"
"MEMANTINE 5MG TABLET","61442-0192-05","-2222","6","390","2043.44","68.24","-2894.49%","-96.66%","0","500"
"GLIPIZIDE 5MG TAB ***","60505-0141-01","-14112","4","390","86.28","11.05","-680.81%","-87.19%","0","1000"
"ZOLPIDEM TARTRATE 10MG TAB ***","13668-0008-05","425","13","375","1214.12","31.99","-3695.31%","-97.37%","0","500"
"AMOXICILLIN 500 MG CAPSULE","57237-0031-05","-1467","18","372","121.86","62.63","-94.57%","-48.6%","0","500"
"PIOGLITAZONE 30MG TABLET","57237-0220-05","-10216","6","360","3314.91","21.45","-15354.13%","-99.35%","0","500"
"POTASSIUM ER 20MEQ TABLET","00832-5325-10","-7833","4","360","194.23","49.14","-295.26%","-74.7%","0","1000"
"MECLIZINE HCL 25MG TABLET","59746-0121-10","-10874","7","360","124.23","64.66","-92.13%","-47.95%","0","1000"
"CLINDAMYCIN PHOSPHATE 1 % EXTERNAL LOTION","21922-0036-01","-3720","5","360","1080.00","108.56","-894.84%","-89.95%","0","60"
"LEVOCETIRIZINE 5MG TABLET","31722-0551-90","-7102","5","360","952.48","32.79","-2804.79%","-96.56%","0","90"
"CETIRIZINE HCL 1 MG/ML ORAL SOLUTION","51672-4070-08","-26040","1","360","94.17","17.77","-429.94%","-81.13%","0","120"
"BREO ELLIPTA 100-25 MCG/ACT INH AEROSOL","00173-0859-10","-9960","4","360","2448.06","2277.80","-7.47%","-6.95%","0","60"
"SACUBITRIL-VALSARTAN 49-51 MG ORAL TABLET","72205-0281-18","-1260","2","360","4222.66","545.80","-673.66%","-87.07%","0","180"
"LEVOTHYROXINE 112MCG TABLET","68180-0970-03","-8220","4","360","201.16","74.41","-170.34%","-63.01%","0","1000"
"ICOSAPENT ETHYL 1GM CAPSULE","60505-4033-01","-13680","1","360","973.50","175.31","-455.3%","-81.99%","0","120"
"ROBAFEN DM 20-200 MG/20ML ORAL LIQUID","00904-7223-20","-48734","1","354","4.98","14.31","65.2%","187.35%","0","118"
"IBUPROFEN 800MG TABLET","49483-0604-50","-12321","4","342","245.26","37.61","-552.11%","-84.67%","0","500"
"LOSARTAN-HCTZ 100-25MG TABLET","43547-0424-09","-13394","5","330","967.01","29.59","-3168.03%","-96.94%","0","90"
"PIOGLITAZONE 15MG TABLET","57237-0219-05","-10868","5","330","1988.14","20.93","-9399%","-98.95%","0","500"
"CLOTRIMAZOLE 1 % SOLUTION ***","52817-0800-30","-18720","10","330","1100.00","315.77","-248.35%","-71.29%","0","30"
"LEVOTHYROXINE 88MCG TABLET","68180-0968-03","-13132","5","330","158.26","71.93","-120.02%","-54.55%","0","1000"
"DICLOFENAC SOD 50MG TAB DR ***","61442-0102-01","-5360","6","330","233.09","61.45","-279.32%","-73.64%","0","100"
"METFORMIN HCL 850 MG ORAL TABLET","70010-0064-05","-5460","3","330","339.72","17.01","-1897.18%","-94.99%","0","500"
"LEVOTHYROXINE 75MCG TABLET","68180-0967-03","-15326","5","330","155.54","74.62","-108.44%","-52.03%","0","1000"
"VITAMIN D 50 000 U CAPSULE","64380-0737-06","-10015","44","317","1268.00","342.65","-270.06%","-72.98%","0","100"
"QUETIAPINE FUMARATE 100MG TABLET","67877-0250-01","-4290","7","315","1858.26","39.72","-4578.4%","-97.86%","0","100"
"DULOXETINE 60MG CAPSULE DR","68180-0296-03","-822","5","300","2025.70","66.85","-2930.22%","-96.7%","0","1000"
"JANUMET 50-500 MG ORAL TABLET","00006-0575-61","-2040","3","300","1702.80","1586.48","-7.33%","-6.83%","0","60"
"BUSPIRONE 10MG TABLET","23155-0024-05","-11220","5","300","336.60","19.08","-1664.15%","-94.33%","0","500"
"GABAPENTIN 600MG TABLET","65862-0523-05","-31342","4","300","651.77","32.81","-1886.5%","-94.97%","0","500"
"CYCLOSPORINE 0.05 % OPHTHALMIC EMULSION","00378-8760-91","-3900","3","300","3164.90","634.53","-398.78%","-79.95%","0","60"
"METHYLIN 5 MG/5ML ORAL SOLUTION","59630-0750-50","300","1","300","47.64","32.79","-45.29%","-31.17%","0","500"
"ALCOHOL PADS EASY COMFORT  ALPINE *****","91237-0001-28","-26200","2","300","180.00","52.98","-239.75%","-70.57%","0","100"
"TOPIRAMATE 50MG TAB ***","68382-0139-05","-10014","5","300","1315.50","29.27","-4394.36%","-97.77%","0","500"
"BUPROPION HCL ER (XL) 300MG TABLET","69097-0072-12","-1320","6","300","1230.18","66.82","-1741.04%","-94.57%","0","500"
"CARVEDILOL 12.5MG TABLET","72888-0036-00","-3230","3","300","512.71","16.23","-3059.03%","-96.83%","0","1000"
"AMOXICILLIN 400MG/5ML FOR SUSPENSION","00093-4161-73","-12250","2","300","60.00","30.44","-97.11%","-49.27%","0","100"
"SERTRALINE 50MG TABLET","65862-0012-05","-8523","8","300","734.89","32.69","-2148.06%","-95.55%","0","500"
"LANCETS EASY COMFORT","91237-0001-16","-56200","2","300","165.00","95.42","-72.92%","-42.17%","0","100"
"JANUVIA 50MG TABLET","00006-0112-31","-11520","4","300","6400.00","1785.67","-258.41%","-72.1%","0","30"
"ONDANSETRON 8MG TAB ***","65862-0188-30","-3533","4","293","8265.53","17.51","-47104.63%","-99.79%","0","30"
"AMOXICILLIN 500MG TABLET","57237-0028-01","-895","5","292","125.05","35.06","-256.67%","-71.96%","0","100"
"CLONAZEPAM 2MG TABLET","59651-0724-05","544","4","290","295.32","27.98","-955.47%","-90.53%","0","500"
"NAPROXEN 500MG TABLET","65862-0522-05","-31703","6","284","276.47","37.64","-634.51%","-86.39%","0","500"
"BISOPROLOL-HCTZ 10-6.25MG TABLET","00378-0505-01","-4050","5","270","320.31","60.77","-427.09%","-81.03%","0","100"
"METFORMIN HCL ER 750 MG TABLET","67877-0414-01","-3330","2","270","277.48","33.02","-740.34%","-88.1%","0","100"
"MIRTAZAPINE 15MG TABLET","13107-0031-05","-13389","9","270","626.94","61.21","-924.24%","-90.24%","0","500"
"TRETINOIN 0.025 % EXTERNAL CREAM","51672-1407-09","-3870","6","270","1246.44","348.87","-257.28%","-72.01%","0","45"
"SERTRALINE 100MG TABLET","65862-0013-05","-10585","8","270","661.40","14.38","-4499.44%","-97.83%","0","500"
"DICYCLOMINE HCL 20 MG ORAL TABLET","69452-0311-32","-1320","3","270","165.87","32.44","-411.31%","-80.44%","0","1000"
"XARELTO 20MG TAB","50458-0579-30","-8610","3","270","6300.00","2833.62","-122.33%","-55.02%","0","30"
"METFORMIN ER 500MG TAB ***","62756-0142-02","-36360","3","270","140.81","19.12","-636.45%","-86.42%","0","500"
"VALSARTAN 80MG TABLET","00378-5813-77","-3090","4","270","1125.60","77.70","-1348.65%","-93.1%","0","90"
"METOPROLOL TARTRATE 50MG TABLET","57237-0101-99","-6920","3","270","126.39","14.92","-747.12%","-88.2%","0","1000"
"CREON 36000UNIT CAPSULE","00032-3016-13","-3780","1","270","3699.00","3347.84","-10.49%","-9.49%","0","100"
"VALSARTAN 320MG TABLET","00378-5815-77","-7932","3","270","1531.14","125.01","-1124.81%","-91.84%","0","90"
